Timestamp,X,Y,Z
5385991,0.016968,-0.024902,1.011230
5386994,0.017334,-0.023804,1.012451
5387996,0.017944,-0.023804,1.010986
5388999,0.018188,-0.024902,1.010986
5390001,0.017212,-0.023193,1.010986
5391003,0.017334,-0.023926,1.010986
5392006,0.017212,-0.024780,1.011353
5393008,0.017822,-0.024170,1.011230
5394011,0.017212,-0.023437,1.011475
5395013,0.017944,-0.023071,1.011475
5396016,0.016968,-0.024048,1.011353
5397018,0.018555,-0.024170,1.011475
5398021,0.017822,-0.024902,1.011475
5399023,0.017700,-0.023071,1.011963
5400026,0.018066,-0.024414,1.010864
5401028,0.017212,-0.025391,1.010498
5402031,0.018311,-0.022583,1.011719
5403033,0.017090,-0.025024,1.011719
5404036,0.017090,-0.024170,1.012085
5405038,0.017212,-0.023926,1.011230
5406040,0.017700,-0.023315,1.011475
5407043,0.017090,-0.024658,1.011108
5408045,0.017944,-0.024414,1.011230
5409048,0.017334,-0.023926,1.011230
5410050,0.017578,-0.023682,1.011475
5411053,0.017090,-0.025024,1.011230
5412055,0.017334,-0.026001,1.011353
5413058,0.016724,-0.023682,1.011353
5414060,0.017700,-0.024658,1.011353
5415063,0.017822,-0.024658,1.012207
5416065,0.017212,-0.024902,1.011841
5417068,0.018066,-0.023437,1.012085
5418070,0.017944,-0.023804,1.011353
5419072,0.017456,-0.024780,1.010986
5420075,0.017456,-0.023193,1.011108
5421077,0.017334,-0.024048,1.011230
5422080,0.017090,-0.023315,1.011108
5423082,0.016846,-0.022827,1.011597
5424085,0.016357,-0.024658,1.012329
5425087,0.017090,-0.022461,1.011475
5426090,0.017700,-0.024170,1.011719
5427092,0.018066,-0.024780,1.011108
5428095,0.016602,-0.024780,1.011475
5429097,0.017212,-0.024414,1.011230
5430100,0.016968,-0.024292,1.012329
5431102,0.016602,-0.020508,1.011108
5432104,0.017700,-0.023560,1.011597
5433107,0.017578,-0.024536,1.011475
5434109,0.016846,-0.024780,1.011230
5435112,0.017212,-0.023560,1.011230
5436114,0.017700,-0.025024,1.011597
5437117,0.016846,-0.023437,1.012085
5438119,0.016846,-0.024170,1.011719
5439122,0.017090,-0.024170,1.012085
5440124,0.017944,-0.023560,1.011719
5441127,0.017700,-0.025269,1.011963
5442129,0.017090,-0.023682,1.011841
5443131,0.017700,-0.023804,1.011719
5444134,0.017090,-0.024292,1.011230
5445136,0.018066,-0.024414,1.011841
5446139,0.016357,-0.024414,1.011841
5447141,0.017212,-0.024048,1.011230
5448144,0.016846,-0.023682,1.011230
5449146,0.016724,-0.024292,1.011963
5450149,0.017456,-0.022827,1.011475
5451151,0.017456,-0.023926,1.011841
5452154,0.017212,-0.024414,1.012085
5453156,0.016846,-0.024048,1.011475
5454159,0.016479,-0.023071,1.011841
5455161,0.017944,-0.022583,1.012573
5456164,0.016602,-0.024048,1.012329
5457166,0.018066,-0.024170,1.011719
5458169,0.017700,-0.023926,1.011963
5459171,0.017700,-0.022949,1.012207
5460174,0.017212,-0.024292,1.011475
5461176,0.016235,-0.024170,1.011597
5462178,0.017334,-0.023804,1.011841
5463181,0.017578,-0.023560,1.011719
5464183,0.017822,-0.024170,1.011597
5465186,0.017944,-0.024170,1.011108
5466188,0.017700,-0.023926,1.011963
5467191,0.018188,-0.023926,1.011475
5468193,0.017090,-0.023193,1.011841
5469196,0.018311,-0.024170,1.011475
5470198,0.017456,-0.023315,1.011841
5471201,0.017944,-0.024658,1.011353
5472203,0.017944,-0.022949,1.012451
5473206,0.017822,-0.024536,1.012085
5474208,0.017090,-0.024048,1.012329
5475211,0.017822,-0.024170,1.011475
5476213,0.017944,-0.023926,1.012573
5477215,0.016724,-0.024292,1.011841
5478218,0.017822,-0.024658,1.011108
5479220,0.017212,-0.023682,1.011230
5480223,0.017700,-0.025269,1.012329
5481225,0.017334,-0.024536,1.011353
5482228,0.017334,-0.024170,1.011230
5483230,0.017578,-0.023926,1.011353
5484233,0.017334,-0.023193,1.010864
5485235,0.018188,-0.023682,1.011230
5486238,0.017944,-0.024170,1.011353
5487240,0.017334,-0.022705,1.011353
5488243,0.017822,-0.023926,1.011597
5489245,0.017334,-0.022949,1.010986
5490247,0.016968,-0.024170,1.011230
5491250,0.017700,-0.023804,1.011353
5492252,0.017334,-0.025146,1.012573
5493255,0.018677,-0.025146,1.010132
5494257,0.017456,-0.023193,1.011353
5495260,0.017456,-0.023926,1.010864
